study,Publication_year,Species,genus,life_form,strategy,n1i,ai,n2i,ci,life_stage,fitness_component,treatment,first_year,location,climate,habitat,absolute_latitude,elevation(m)
Arnolds,2009,Leucadendron_coniferum,Leucadendron,tree,perennial,250,42,125,89,seed,germination,infrared_heater,NA,South_Africa,Mediterranean,shrubland,33.99039,212
Arnolds,2009,Leucadendron_eucalyptifolium,Leucadendron,tree,perennial,250,95,125,58,seed,germination,infrared_heater,NA,South_Africa,Mediterranean,shrubland,33.99039,212
Arnolds,2009,Leucadendron_laureolum,Leucadendron,tree,perennial,250,4,125,88,seed,germination,infrared_heater,NA,South_Africa,Mediterranean,shrubland,33.99039,212
Arnolds,2009,Leucadendron_meridianum,Leucadendron,tree,perennial,250,141,125,87,seed,germination,infrared_heater,NA,South_Africa,Mediterranean,shrubland,33.99039,212
Arnolds,2009,Leucadendron_rubrum,Leucadendron,tree,perennial,250,33,125,58,seed,germination,infrared_heater,NA,South_Africa,Mediterranean,shrubland,33.99039,212
Arnolds,2009,Leucadendron_salicifolium,Leucadendron,tree,perennial,250,107,125,67,seed,germination,infrared_heater,NA,South_Africa,Mediterranean,shrubland,33.99039,212
Arnolds,2009,Leucadendron_spissifolium,Leucadendron,tree,perennial,250,174,125,86,seed,germination,infrared_heater,NA,South_Africa,Mediterranean,shrubland,33.99039,212
Arnolds,2009,Leucospermum_conocarpodendron,Leucospermum,tree,perennial,250,2,125,29,seed,germination,infrared_heater,NA,South_Africa,Mediterranean,shrubland,33.99039,212
Arnolds,2009,Protea_magnifica,Protea,tree,perennial,250,72,125,76,seed,germination,infrared_heater,NA,South_Africa,Mediterranean,shrubland,33.99039,212
Arnolds,2009,Protea_neriifolia,Protea,tree,perennial,250,89,125,50,seed,germination,infrared_heater,NA,South_Africa,Mediterranean,shrubland,33.99039,212
Arnolds,2009,Protea_repens,Protea,tree,perennial,250,44,125,34,seed,germination,infrared_heater,NA,South_Africa,Mediterranean,shrubland,33.99039,212
