study,publication_year,species,genus,life_form,Strategy,m1i,sd1i,n1i,m2i,sd2i,n2i,fitness,level,treat,treatment,year,location,absolute_latitude,elevation(m),climate ,habitat,source
Aerts,2004,Andromeda_polifolia,Andromeda,forb,perennial,105.8929042,59.66190344,5,102.3516223,64.92618903,5,flowers,plot,passive_warming,passive_warming,2001,Sweden,68.35,400,subarctic,shrubland,Fig5
Aerts,2004,Rubus_chamaemorus,Rubus,shrub,perennial,185.5294901,103.0235629,5,268.0254,101.2223324,5,flowers,plot,passive_warming,passive_warming,2001,Sweden,68.35,400,subarctic,shrubland,Fig5
Alatalo,1997,Silene_acaulis,Silene,forb,perennial,6.556071429,4.00765265,14,5.8435,1.696103079,14,seeds,individual,passive_warming,passive_warming,1993,Sweden,64.48333335,1220,NA ,NA,Table3
Bokhorst,2008,Vaccinium_myrtillus,Vaccinium,shrub,perennial,0.042918035,0.053190077,12,0.40136377,0.295876434,6,fruits,individual,active_warming,active_warming,2007,Sweden,68.35,400,subarctic,shrubland,Fig5
Bokhorst,2008,Empetrum_hermaphroditum,Empetrum,shrub,perennial,0.131581118,0.235913839,12,0.214832415,0.433474883,6,fruits,individual,active_warming,active_warming,2007,Sweden,68.35,400,subarctic,shrubland,Fig5
Bokhorst,2008,Vaccinium_vitis-idaea,Vaccinium,shrub,perennial,0.26386319,0.416632158,12,0.646265095,0.516054153,6,fruits,individual,active_warming,active_warming,2007,Sweden,68.35,400,subarctic,shrubland,Fig5
Bret-Harte,2001,Betula_nana,Betula,shrub,perennial,1.26166734,2.295409606,4,0.577041652,0.587672485,4,flowers,individual,passive_warming,passive_warming,1988,Alaska,68.633333,760,arctic,tundra,Fig4
Bret-Harte,2001,Rhododendron_tomentosum,Ledum,shrub,perennial,1.055003933,0.474560415,4,1.227648672,1.268896307,4,flowers,individual,passive_warming,passive_warming,1988,Alaska,68.633333,760,arctic,tundra,Fig4
Campbell,2013,Ipomopsis_aggregata,Ipomopsis,forb,perennial,127.0028712,79.89907132,8,138.8672779,128.6350235,10,flowers,individual,drought,drought,2009,USA,38.95,2900,subalpine,meadow,Fig4
De Frenne,2011,Anemone_nemorosa,Anemone,forb,perennial,14.2358804,6.618220384,16,19.36877076,10.91466037,16,seeds,individual,passive_warming,passive_warming,2009,Belgium,50.9,NA,temperate,forest,Fig3e
De Valpine,2001,Helianthella_quinquenervis,Helianthella,forb,perennial,0.138705674,0.117373746,5,0.091338652,0.106233052,5,flowers,plot,active_warming,active_warming,1994,USA,38.95,2900,subalpine,meadow,Fig1
De Valpine,2001,Erigeron_speciosus,Erigeron,forb,perennial,0.607978723,0.067082039,5,0.318111702,0.067082039,5,flowers,plot,active_warming,active_warming,1994,USA,38.95,2900,subalpine,meadow,Fig1
De Valpine,2001,Potentilla_hippiana,Potentilla,forb,perennial,0.549751773,0.128573909,5,0.449884752,0.128554085,5,flowers,plot,active_warming,active_warming,1994,USA,38.95,2900,subalpine,meadow,Fig1
De Valpine,2001,Eriogonum_subalpinum,Eriogonum,forb,perennial,0.109462916,0.180715468,5,0.270076726,0.178427931,5,flowers,plot,active_warming,active_warming,1994,USA,38.95,2900,subalpine,meadow,Fig1
De Valpine,2001,Galium_boreale,Galium,forb,perennial,21.82825745,19.42822629,5,19.8130885,18.52407501,5,flowers,plot,active_warming,active_warming,1994,USA,38.95,2900,subalpine,meadow,Fig1
De Valpine,2001,Delphinium_nelsonii,Delphinium,forb,perennial,10.40787095,2.852119486,5,7.199380093,2.705103017,5,flowers,plot,active_warming,active_warming,1994,USA,38.95,2900,subalpine,meadow,Fig1
De Valpine,2001,Mertensia_fusiformis,Mertensia,forb,perennial,72.35541362,27.78611252,5,110.5252777,30.56472377,5,flowers,plot,active_warming,active_warming,1994,USA,38.95,2900,subalpine,meadow,Fig1
del Cacho,2013,Erica_multiflora,Erica,shrub,perennial,1.200827365,5.845228296,23,2.85701529,7.219867777,29,seeds,individual,drought,drought,2008,Spain,41.3,210,Mediterranean,shrubland,Fig1
del Cacho,2013,Dorycnium_pentaphyllum,Dorycnium,forb,perennial,0.435747814,1.869651506,50,0.532719742,2.06035927,58,fruits,individual,drought,drought,2008,Spain,41.3,210,Mediterranean,shrubland,Fig1
del Cacho,2013,Helianthemum_syriacum,Helianthemum ,shrub,perennial,3.456109606,4.733610209,20,4.168711168,5.020733165,20,seeds,individual,drought,drought,2008,Spain,41.3,210,Mediterranean,shrubland,Fig1
Diaz,1998,Galium_aparine,Galium,forb,annual,35.91160221,25.71287575,6,49.17127072,29.7728035,6,seeds,plot,CO2,CO2,NA,UK,NA,NA,temperate,grassland,Fig1
