"","lon","lat","lon.ind","lat.ind","ind","elev","airpr","year","abs","variable","value","absorp","fitcomp"
"3",-108.5625,40.8125,4,31,38,2029,79.2093757678782,"1999",3,"fec",5.50848257939105,"wing absorptivity= 0.5","flight activity time (hr)"
"7",-108.0625,40.8125,8,31,42,1971,79.7818536667725,"1999",3,"fec",5.57012875691086,"wing absorptivity= 0.5","flight activity time (hr)"
"11",-107.5625,40.8125,12,31,46,2130,78.2204161401579,"1999",3,"fec",5.45346417525975,"wing absorptivity= 0.5","flight activity time (hr)"
"15",-107.0625,40.8125,16,31,50,2785,72.0466784940278,"1999",3,"fec",4.76486038667448,"wing absorptivity= 0.5","flight activity time (hr)"
"16",-106.9375,40.8125,17,31,51,2520,74.4950315057052,"1999",3,"fec",4.69478198758486,"wing absorptivity= 0.5","flight activity time (hr)"
"19",-106.5625,40.8125,20,31,54,2591,73.8325500012671,"1999",3,"fec",3.9906899729809,"wing absorptivity= 0.5","flight activity time (hr)"
"20",-106.4375,40.8125,21,31,55,2485,74.823373439194,"1999",3,"fec",4.69123327552721,"wing absorptivity= 0.5","flight activity time (hr)"
"21",-106.3125,40.8125,22,31,56,2450,75.1528862339527,"1999",3,"fec",4.46607090289327,"wing absorptivity= 0.5","flight activity time (hr)"
"22",-106.1875,40.8125,23,31,57,2469,74.9738623850688,"1999",3,"fec",4.24635342583412,"wing absorptivity= 0.5","flight activity time (hr)"
"24",-105.9375,40.8125,25,31,59,2844,71.5105457488296,"1999",3,"fec",2.89728211960448,"wing absorptivity= 0.5","flight activity time (hr)"
"25",-105.8125,40.8125,26,31,60,3091,69.3010073030437,"1999",3,"fec",2.83634902508523,"wing absorptivity= 0.5","flight activity time (hr)"
"26",-105.6875,40.8125,27,31,61,3056,69.6106930620098,"1999",3,"fec",3.07048253079643,"wing absorptivity= 0.5","flight activity time (hr)"
"27",-105.5625,40.8125,28,31,62,2458,75.0774656307196,"1999",3,"fec",5.2483886615452,"wing absorptivity= 0.5","flight activity time (hr)"
"29",-105.3125,40.8125,30,31,64,1881,80.6768106698019,"1999",3,"fec",5.4349164735038,"wing absorptivity= 0.5","flight activity time (hr)"
"30",-105.1875,40.8125,31,31,65,1816,81.3282101401388,"1999",3,"fec",5.71745124554754,"wing absorptivity= 0.5","flight activity time (hr)"
"31",-105.0625,40.8125,32,31,66,1669,82.8170906712998,"1999",3,"fec",5.17356543013209,"wing absorptivity= 0.5","flight activity time (hr)"
"32",-104.9375,40.8125,33,31,67,1688,82.6234178599914,"1999",3,"fec",4.50604020479902,"wing absorptivity= 0.5","flight activity time (hr)"
"33",-108.8125,40.6875,2,30,70,1781,81.6807236592673,"1999",3,"fec",5.34576320380283,"wing absorptivity= 0.5","flight activity time (hr)"
"34",-108.6875,40.6875,3,30,71,1859,80.8968095921083,"1999",3,"fec",5.32082370676578,"wing absorptivity= 0.5","flight activity time (hr)"
"35",-108.5625,40.6875,4,30,72,2075,78.757710707142,"1999",3,"fec",5.46331588756731,"wing absorptivity= 0.5","flight activity time (hr)"
"36",-108.4375,40.6875,5,30,73,1906,80.4274002064255,"1999",3,"fec",5.30954801982856,"wing absorptivity= 0.5","flight activity time (hr)"
"37",-108.3125,40.6875,6,30,74,1929,80.1984943543652,"1999",3,"fec",5.5214080649464,"wing absorptivity= 0.5","flight activity time (hr)"
